key;shape;fingers;image;chord;chord_long;root;suffix;suffix_long;bass
1;["0","2","2","2","0","x"];[0,3,2,1,0,0];jguitar/A.png;A;A;A;Major;Major;A
2;["1","3","3","3","1","x"];["1","4","3","2","1","0"];jguitar/Asharp.png;A#;A#;A#;Major;Major;A#
3;["1","3","3","0","0","x"];["1","4","3","0","0","0"];jguitar/Asharp-A.png;A#/A;A#/A;A#;Major;Major;A
4;["x","3","3","3","2","x"];["0","4","3","2","1","0"];jguitar/Asharp-B.png;A#/B;A#/B;A#;Major;Major;B
5;["1","3","3","0","3","x"];["1","4","3","0","2","0"];jguitar/Asharp-C.png;A#/C;A#/C;A#;Major;Major;C
6;["6","3","3","3","4","x"];["4","1","1","1","2","0"];jguitar/Asharp-Csharp.png;A#/C#;A#/C#;A#;Major;Major;C#
7;["1","3","3","0","x","x"];["1","4","3","0","0","0"];jguitar/Asharp-D.png;A#/D;A#/D;A#;Major;Major;D
8;["1","3","3","1","x","x"];["2","4","3","1","0","0"];jguitar/Asharp-Dsharp.png;A#/D#;A#/D#;A#;Major;Major;D#
9;["1","3","3","3","1","0"];["1","4","3","2","1","0"];jguitar/Asharp-E.png;A#/E;A#/E;A#;Major;Major;E
10;["1","3","3","3","1","1"];["1","4","3","2","1","1"];jguitar/Asharp-F.png;A#/F;A#/F;A#;Major;Major;F
11;["x","3","3","3","1","2"];["0","3","3","3","1","2"];jguitar/Asharp-Fsharp.png;A#/F#;A#/F#;A#;Major;Major;F#
12;["1","3","x","3","1","3"];["1","4","0","3","1","2"];jguitar/Asharp-G.png;A#/G;A#/G;A#;Major;Major;G
13;["x","3","3","3","1","4"];["0","3","3","3","1","4"];jguitar/Asharp-Gsharp.png;A#/G#;A#/G#;A#;Major;Major;G#
14;["4","4","3","3","5","6"];["2","2","1","1","3","4"];jguitar/Asharp11.png;A#11;A#11;A#;11;11th;A#
15;["4","4","3","3","5","5"];["2","2","1","1","4","3"];jguitar/Asharp11-A.png;A#11/A;A#11/A;A#;11;11th;A
16;["6","6","8","6","5","7"];["2","2","4","2","1","3"];jguitar/Asharp11-B.png;A#11/B;A#11/B;A#;11;11th;B
17;["10","9","8","8","8","8"];["3","2","1","1","1","1"];jguitar/Asharp11-C.png;A#11/C;A#11/C;A#;11;11th;C
18;["10","9","8","8","8","9"];["4","3","1","1","1","2"];jguitar/Asharp11-Csharp.png;A#11/C#;A#11/C#;A#;11;11th;C#
19;["4","4","3","3","5","x"];["2","2","1","1","3","0"];jguitar/Asharp11-D.png;A#11/D;A#11/D;A#;11;11th;D
20;["6","6","7","6","6","x"];["1","1","2","1","1","0"];jguitar/Asharp11-Dsharp.png;A#11/D#;A#11/D#;A#;11;11th;D#
21;["11","11","13","12","11","12"];["1","1","4","3","1","2"];jguitar/Asharp11-E.png;A#11/E;A#11/E;A#;11;11th;E
22;["11","11","13","12","11","13"];["1","1","4","2","1","3"];jguitar/Asharp11-F.png;A#11/F;A#11/F;A#;11;11th;F
23;["4","4","3","3","5","2"];["3","3","2","2","4","1"];jguitar/Asharp11-Fsharp.png;A#11/F#;A#11/F#;A#;11;11th;F#
24;["4","4","3","3","5","3"];["2","2","1","1","3","1"];jguitar/Asharp11-G.png;A#11/G;A#11/G;A#;11;11th;G
25;["6","4","5","x","5","4"];["4","1","3","0","2","1"];jguitar/Asharp11-Gsharp.png;A#11/G#;A#11/G#;A#;11;11th;G#
26;["3","3","1","0","1","x"];["4","3","2","0","1","0"];jguitar/Asharp13.png;A#13;A#13;A#;13;13th;A#
27;["3","3","3","6","5","5"];["1","1","1","4","3","2"];jguitar/Asharp13-A.png;A#13/A;A#13/A;A#;13;13th;A
28;["6","8","7","6","x","7"];["1","4","3","1","0","2"];jguitar/Asharp13-B.png;A#13/B;A#13/B;A#;13;13th;B
29;["3","3","3","6","3","x"];["1","1","1","4","1","0"];jguitar/Asharp13-C.png;A#13/C;A#13/C;A#;13;13th;C
30;["3","3","3","6","4","x"];["1","1","1","4","2","0"];jguitar/Asharp13-Csharp.png;A#13/C#;A#13/C#;A#;13;13th;C#
31;["3","3","3","6","5","x"];["1","1","1","4","3","0"];jguitar/Asharp13-D.png;A#13/D;A#13/D;A#;13;13th;D
32;["6","8","7","6","6","x"];["1","3","2","1","1","0"];jguitar/Asharp13-Dsharp.png;A#13/D#;A#13/D#;A#;13;13th;D#
33;["3","3","1","0","1","0"];["4","3","2","0","1","0"];jguitar/Asharp13-E.png;A#13/E;A#13/E;A#;13;13th;E
34;["3","3","1","0","1","1"];["4","4","3","0","2","1"];jguitar/Asharp13-F.png;A#13/F;A#13/F;A#;13;13th;F
35;["3","3","1","0","1","2"];["4","4","2","0","1","3"];jguitar/Asharp13-Fsharp.png;A#13/F#;A#13/F#;A#;13;13th;F#
36;["1","3","1","3","1","3"];["1","4","1","3","1","2"];jguitar/Asharp13-G.png;A#13/G;A#13/G;A#;13;13th;G
37;["3","3","3","3","5","4"];["1","1","1","1","3","2"];jguitar/Asharp13-Gsharp.png;A#13/G#;A#13/G#;A#;13;13th;G#
38;["1","x","3","3","1","x"];["2","0","4","3","1","0"];jguitar/Asharp5.png;A#5;A#5;A#;5;5th;A#
39;["1","x","3","3","0","x"];["1","0","4","3","0","0"];jguitar/Asharp5-A.png;A#5/A;A#5/A;A#;5;5th;A
40;["1","x","3","3","2","x"];["1","0","4","3","2","0"];jguitar/Asharp5-B.png;A#5/B;A#5/B;A#;5;5th;B
41;["6","6","3","3","3","x"];["4","4","1","1","1","0"];jguitar/Asharp5-C.png;A#5/C;A#5/C;A#;5;5th;C
42;["6","6","6","x","x","x"];["1","1","1","0","0","0"];jguitar/Asharp5-Csharp.png;A#5/C#;A#5/C#;A#;5;5th;C#
43;["1","x","3","0","x","x"];["1","0","3","0","0","0"];jguitar/Asharp5-D.png;A#5/D;A#5/D;A#;5;5th;D
44;["1","x","3","1","x","x"];["2","0","4","1","0","0"];jguitar/Asharp5-Dsharp.png;A#5/D#;A#5/D#;A#;5;5th;D#
45;["1","x","3","3","1","0"];["2","0","4","3","1","0"];jguitar/Asharp5-E.png;A#5/E;A#5/E;A#;5;5th;E
46;["1","x","3","3","1","1"];["1","0","4","3","1","1"];jguitar/Asharp5-F.png;A#5/F;A#5/F;A#;5;5th;F
47;["1","x","3","3","1","2"];["1","0","4","3","1","2"];jguitar/Asharp5-Fsharp.png;A#5/F#;A#5/F#;A#;5;5th;F#
48;["1","x","3","3","1","3"];["1","0","4","3","1","2"];jguitar/Asharp5-G.png;A#5/G;A#5/G;A#;5;5th;G
49;["1","x","3","3","1","4"];["1","0","3","2","1","4"];jguitar/Asharp5-Gsharp.png;A#5/G#;A#5/G#;A#;5;5th;G#
50;["3","3","3","3","1","x"];["3","3","3","3","1","0"];jguitar/Asharp6.png;A#6;A#6;A#;6;6th;A#
51;["3","3","3","0","0","x"];["1","1","1","0","0","0"];jguitar/Asharp6-A.png;A#6/A;A#6/A;A#;6;6th;A
52;["3","3","3","3","2","x"];["2","2","2","2","1","0"];jguitar/Asharp6-B.png;A#6/B;A#6/B;A#;6;6th;B
53;["3","3","3","3","3","x"];["1","1","1","1","1","0"];jguitar/Asharp6-C.png;A#6/C;A#6/C;A#;6;6th;C
54;["3","3","3","3","4","x"];["1","1","1","1","2","0"];jguitar/Asharp6-Csharp.png;A#6/C#;A#6/C#;A#;6;6th;C#
55;["3","3","3","0","x","x"];["1","1","1","0","0","0"];jguitar/Asharp6-D.png;A#6/D;A#6/D;A#;6;6th;D
